ID	Pathogen	Pathogen Taxonomy	Source	Taxonomy ID	Transmission Method	Host/Reservoir	Taxonomy ID	Disease	Anatomy	Symptoms/Documentation/Attributes
TI:0000400	Burkholderia pseudomallei	28450	unknown		unknown	Orcinus orca	9733	Melioidosis	kidney	PMID:10860161
TI:0000399	Burkholderia pseudomallei	28450	unknown		unknown	Orcinus orca	9733	Melioidosis	lymph node	PMID:10860161
TI:0000398	Burkholderia pseudomallei	28450	unknown		unknown	Orcinus orca	9733	Melioidosis	lung	PMID:10860161
TI:0000397	Burkholderia pseudomallei	28450	unknown		unknown	Orcinus orca	9733	Melioidosis	spleen	PMID:10860161
TI:0000396	Burkholderia pseudomallei	28450	unknown		unknown	Orcinus orca	9733	Melioidosis	liver	PMID:10860161
TI:0000395	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Orcinus orca	9733	Melioidosis	digestive system	PMID:10860161,PMID:15525357
TI:0000394	Burkholderia pseudomallei	28450	air		indirect: airborne	Orcinus orca	9733	Melioidosis	unknown	PMID:10860161,PMID:15525357
TI:0000393	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Trionychidae	34907	Melioidosis	digestive system	PMID:15525357
TI:0000392	Burkholderia pseudomallei	28450	air		indirect: airborne	Trionychidae	34907	Melioidosis	unknown	PMID:15525357
TI:0000391	Burkholderia pseudomallei	28450	not curated		direct: contact	Trionychidae	34907	Melioidosis	unknown	PMID:15525357
TI:0000390	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Testudinidae	8487	Melioidosis	digestive system	PMID:15525357
TI:0000389	Burkholderia pseudomallei	28450	air		indirect: airborne	Testudinidae	8487	Melioidosis	unknown	PMID:15525357
TI:0000388	Burkholderia pseudomallei	28450	not curated		direct: contact	Testudinidae	8487	Melioidosis	unknown	PMID:15525357
TI:0000387	Burkholderia pseudomallei	28450	unknown		unknown	Struthionidae	8799	Melioidosis	unknown	PMID:15525357
TI:0000386	Burkholderia pseudomallei	28450	unknown		unknown	Bucerotidae	57380	Melioidosis	unknown	PMID:15525357
TI:0000385	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Psittacidae	9224	Melioidosis	digestive system	PMID:15525357
TI:0000384	Burkholderia pseudomallei	28450	air		indirect: airborne	Psittacidae	9224	Melioidosis	unknown	PMID:15525357
TI:0000383	Burkholderia pseudomallei	28450	not curated		direct: contact	Psittacidae	9224	Melioidosis	unknown	PMID:15525357
TI:0000382	Burkholderia pseudomallei	28450	food		indirect: vehicle-borne ingestion	Ursidae	9632	Melioidosis	digestive system	PMID:15525357
TI:0000381	Burkholderia pseudomallei	28450	air		indirect: airborne	Ursidae	9632	Melioidosis	unknown	PMID:15525357
TI:0000380	Burkholderia pseudomallei	28450	not curated		direct: contact	Ursidae	9632	Melioidosis	unknown	PMID:15525357
